index,acc.x,acc.y,acc.z,gyz.x,gyr.y,gyr.z,acc.x,acc.y,acc.z,gyz.x,gyr.y,gyr.z,acc.x,acc.y,acc.z,gyz.x,gyr.y,gyr.z,acc.x,acc.y,acc.z,gyz.x,gyr.y,gyr.z,acc.x,acc.y,acc.z,gyz.x,gyr.y,gyr.z
0,2163,2553,15623,177,-89,-2,1890,2734,15374,151,-5,4,1517,2895,15154,112,54,4,1048,2936,15043,63,79,4,727,2851,14993,14,74,4
1,-3807,583,15486,-2,0,-269,-3723,509,15412,-34,23,-259,-3549,490,15359,-66,43,-254,-3359,418,15351,-98,64,-248,-3218,272,15425,-131,85,-234
2,-2131,304,16580,57,12,16,-2165,364,16408,92,-5,19,-2282,350,16252,113,-19,23,-2381,302,15997,131,-42,26,-2492,395,15838,141,-71,29
3,-957,-39,15991,-982,1682,-71,-996,-406,16139,-974,1700,-68,-885,-539,16174,-935,1715,-58,-742,-436,16284,-891,1778,-37,-903,-414,16299,-853,1893,-7
4,-2530,663,16800,-1252,2600,184,-2698,95,17313,-1213,2444,182,-2654,-488,17683,-1141,2276,166,-2481,-730,17926,-1041,2130,147,-2281,-812,17992,-924,2014,133
5,-974,745,16383,-830,2390,133,-1525,727,16418,-862,2591,134,-2225,560,16366,-901,2760,146,-2795,254,16227,-938,2879,162,-3259,114,16234,-954,2933,184
6,3200,4025,14914,594,-3818,-278,3955,4234,15021,514,-3343,-223,4439,4786,15098,381,-2226,-105,4380,4779,15101,317,-1661,-38,4233,4631,14967,246,-1145,18
7,-332,-4920,13559,392,-1650,-853,-439,-4932,13733,334,-1584,-791,-466,-4798,13956,283,-1499,-734,-438,-4758,14191,243,-1374,-675,-281,-4884,14403,206,-1230,-582
8,3217,2980,13273,1020,-2266,16,3314,3182,13124,930,-2173,56,3342,3220,13110,835,-2073,100,3466,3192,13151,734,-1964,144,3721,3078,13288,643,-1842,195
9,3452,-6228,17552,-227,126,239,3004,-5938,17304,-151,151,184,2265,-5765,16908,-68,181,138,1500,-5716,16464,3,183,97,944,-5751,15937,49,144,66
10,4163,3475,15550,755,607,-163,4621,3876,14998,824,536,-152,4921,4450,14372,868,498,-149,5031,4943,13614,799,492,-184,4700,5271,13422,698,482,-201
